MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,DEST,DEST_STATE_FIPS,DEST_STATE_NM,Var13_1,ORIGIN_FIPS,DES_FIPS,NUM_SEATS
2,21,2020-02-21,YX,N209JQ,6063,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,21,2020-02-21,YX,N207JQ,6064,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,21,2020-02-21,YX,N231JQ,6065,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,21,2020-02-21,YX,N217JQ,6069,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,21,2020-02-21,YX,N882RW,6071,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,69
2,21,2020-02-21,YX,N218JQ,6086,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,21,2020-02-21,YX,N244JQ,6112,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,21,2020-02-21,YX,N242JQ,6118,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,21,2020-02-21,YX,N242JQ,6128,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,76
2,21,2020-02-21,YX,N357FC,6131,ROC,36,New York,LGA,36,New York,,36055,36081,69
2,21,2020-02-21,YX,N879RW,6134,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,69
2,22,2020-02-22,YX,N204JQ,5646,BUF,36,New York,LGA,36,New York,,36029,36081,76
2,22,2020-02-22,YX,N204JQ,5646,LGA,36,New York,BUF,36,New York,,36081,36029,76
2,22,2020-02-22,YX,N213JQ,5873,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,22,2020-02-22,YX,N236JQ,5877,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,22,2020-02-22,YX,N233JQ,5881,LGA,36,New York,SYR,36,New York,,36081,36067,76
2,22,2020-02-22,YX,N245JQ,5894,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,22,2020-02-22,YX,N206JQ,5918,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
